states,category,year,population,lit_rate,fert_rate,pop_growth,pop_growth_rural,pop_growth_urban
A & N Islands,Non-EAG,2001,356152,81.3,1.9,26.9,16.6,55
A & N Islands,Non-EAG,2011,379944,86.27,1.5,6.9,-1.2,23.5
INDIA,Country,2001,1028737436,64.83,2.6,21.5,19.2,32.6
INDIA,Country,2011,1210193422,74.04,2.1,17.7,12.3,31.8
INDIA,Country,2020,1371360351,81.3,1.9,13.3,8.6,41.2
A & N Islands,Non-EAG,2020,417036,91.1,1.5,9.8,4.2,32.3
Andhra Pradesh,Non-EAG,2001,45229393,66.64,2.3,14.6,13.9,16.3
Andhra Pradesh,Non-EAG,2011,49471555,75.6,1.8,11,1.7,35.6
Andhra Pradesh,Non-EAG,2020,54341585,80.2,1.6,9.8,1.4,39.4
Arunachal Pradesh,Non-EAG,2001,1097968,54.34,3.1,27,15.4,106
Arunachal Pradesh,Non-EAG,2011,1382611,66.95,2.5,26,22.6,39.3
Arunachal Pradesh,Non-EAG,2020,1570458,70.6,2.1,13.6,18.5,46.1
Assam,Non-EAG,2001,26655528,63.25,3,18.9,16.5,38.2
Assam,Non-EAG,2011,31169272,73.18,2.4,17.1,15.5,27.9
Assam,Non-EAG,2020,35607039,75.6,2.3,14.2,9.2,30.7
Bihar,EAG,2001,82998509,47,4.4,28.6,28.5,29.4
Bihar,EAG,2011,103804637,63.82,3.6,25.4,24.3,35.4
Bihar,EAG,2020,124799926,69.8,3.2,20.2,17.2,34.2
Chandigarh,Non-EAG,2001,900635,81.94,1.9,40.3,39.2,40.4
Chandigarh,Non-EAG,2011,1054686,86.43,1.6,17.2,-68.5,27
Chandigarh,Non-EAG,2020,1158473,89.2,1.6,9.8,4.5,47.1
Chhattisgarh,EAG,2001,20833803,64.66,3.7,18.3,14.4,36.6
Chhattisgarh,EAG,2011,25540196,71.04,2.7,22.6,17.8,41.8
Chhattisgarh,EAG,2020,29436231,74.5,2.4,15.3,8.4,49.6
D & N Haveli,Non-EAG,2001,220490,57.63,3.6,59.2,34.1,330.4
D & N Haveli,Non-EAG,2011,342853,77.65,3,55.9,7.7,218.2
D & N Haveli,Non-EAG,2020,369943,81.8,2.3,7.9,6.1,154.7
Daman & Diu,Non-EAG,2001,158204,78.18,2.2,55.7,86.6,20.6
Daman & Diu,Non-EAG,2011,242911,87.07,2,53.8,-40.1,218.8
Daman & Diu,Non-EAG,2020,245781,89.2,1.7,1.2,1.8,126.5
Goa,Non-EAG,2001,1347668,82.01,1.4,15.2,-1.9,39.8
Goa,Non-EAG,2011,1457723,87.4,1.4,8.2,-18.5,35.2
Goa,Non-EAG,2020,1586250,91.5,1.5,8.8,-7.2,51
Gujarat,Non-EAG,2001,50671017,69.14,2.9,22.7,17.3,32.9
Gujarat,Non-EAG,2011,60383628,79.31,2.4,19.3,9.3,36
Gujarat,Non-EAG,2020,63872399,82.9,2.2,5.8,6.7,42.8
Haryana,Non-EAG,2001,21144564,67.91,3.1,28.4,21.1,50.8
Haryana,Non-EAG,2011,25353081,76.64,2.3,19.9,9.8,44.6
Haryana,Non-EAG,2020,28204692,77.8,2.2,11.2,7.5,55.4
Himachal Pradesh,Non-EAG,2001,6077900,76.48,2.2,17.5,16.1,32.6
Himachal Pradesh,Non-EAG,2011,6856509,83.78,1.8,12.9,12.7,15.6
Himachal Pradesh,Non-EAG,2020,7451955,89.4,1.6,8.7,9.3,31.4
Jammu & Kashmir,Non-EAG,2001,9918319,55.52,2.6,29.4,26.2,40.3
Jammu & Kashmir,Non-EAG,2011,12274637,68.72,1.9,23.8,19.4,36.4
Jammu & Kashmir,Non-EAG,2020,13596643,75.3,1.6,10.8,15.9,41.2
Jharkhand,EAG,2001,26945829,53.56,3.7,23.4,21.8,29.1
Jharkhand,EAG,2011,32966238,67.63,2.9,22.4,19.6,32.4
Jharkhand,EAG,2020,38593948,70.4,2.5,17.1,11.4,52.2
Karnataka,Non-EAG,2001,52850562,56.47,2.4,17.5,12.3,29.1
Karnataka,Non-EAG,2011,61130704,67.66,1.9,15.6,7.4,31.5
Karnataka,Non-EAG,2020,67562686,75.9,1.7,10.5,5.4,59.3
Kerala,Non-EAG,2001,31841374,90.86,1.8,9.4,10.1,7.6
Kerala,Non-EAG,2011,33387677,93.91,1.8,4.9,-25.9,92.8
Kerala,Non-EAG,2020,35699443,94.2,1.1,6.9,3.8,95.2
Ladakh,Non-EAG,2001,225381,54.94,2.4,25.3,21.4,30.8
Ladakh,Non-EAG,2011,274289,69.86,1.5,21.7,17.2,24.7
Ladakh,Non-EAG,2020,298700,74.1,1.3,8.9,13.9,37.5
Lakshadweep,Non-EAG,2001,60650,86.66,2.4,17.3,49.1,-7.4
Lakshadweep,Non-EAG,2011,64429,92.28,1.6,6.3,-58,86.6
Lakshadweep,Non-EAG,2020,73183,94.1,1.5,13.6,2.5,96.4
Madhya Pradesh,EAG,2001,60348023,63.74,3.9,24.3,22.3,30.1
Madhya Pradesh,EAG,2011,72597565,70.63,3.1,20.3,18.4,25.7
Madhya Pradesh,EAG,2020,85358965,75.6,2.7,17.6,11.6,29.5
Maharashtra,Non-EAG,2001,96878627,76.88,2.4,22.7,15.3,34.6
Maharashtra,Non-EAG,2011,112372972,82.91,1.8,16,10.4,23.6
Maharashtra,Non-EAG,2020,123144223,86.5,1.7,9.6,7.2,27.4
Manipur,Non-EAG,2001,2293896,69.93,2,24.9,29,13.9
Manipur,Non-EAG,2011,2721756,79.85,1.5,24.5,17.7,44.8
Manipur,Non-EAG,2020,3091545,84.9,1.4,13.6,13.5,36.6
Meghalaya,Non-EAG,2001,2318822,62.56,3.7,30.7,29.1,37.6
Meghalaya,Non-EAG,2011,2964007,75.48,2.8,27.9,27.2,31.1
Meghalaya,Non-EAG,2020,3366710,81.2,2.9,13.6,18.7,39.1
Mizoram,Non-EAG,2001,888573,88.8,1.7,28.8,20.4,38.7
Mizoram,Non-EAG,2011,1091014,91.58,1.6,23.5,17.4,29.7
Mizoram,Non-EAG,2020,1239244,94.1,2.3,13.6,14.3,41.5
Nagaland,Non-EAG,2001,1990036,66.59,1.3,64.5,64.5,64.6
Nagaland,Non-EAG,2011,1980602,80.11,1.7,-0.6,-14.6,66.6
Nagaland,Non-EAG,2020,2249695,88.2,2.5,13.6,9.4,52.4
NCT of Delhi,Non-EAG,2001,13850507,81.67,2.2,47,-0.5,52.3
NCT of Delhi,Non-EAG,2011,16753235,86.34,1.8,21.2,-55.6,26.8
NCT of Delhi,Non-EAG,2020,18710922,91.9,1.5,11.7,7.2,45.6
Odisha,EAG,2001,36804660,63.08,2.6,16.3,14.1,30.3
Odisha,EAG,2011,41947358,73.45,2.2,14,11.8,26.9
Odisha,EAG,2020,46356334,77.7,1.9,10.5,9.1,41.7
Puducherry,Non-EAG,2001,974345,81.24,1.8,20.6,12,25.5
Puducherry,Non-EAG,2011,1244464,86.55,1.7,28.1,21.3,31.5
Puducherry,Non-EAG,2020,1413542,92.6,1.6,13.6,5.2,39.3
Punjab,Non-EAG,2001,24358999,69.65,2.4,20.1,12.7,37.9
Punjab,Non-EAG,2011,27704236,76.68,1.8,13.9,7.8,25.9
Punjab,Non-EAG,2020,30141373,79.5,1.6,8.8,5.7,33.7
Rajasthan,EAG,2001,56507188,60.41,4,28.4,27.6,31.3
Rajasthan,EAG,2011,68621012,67.06,3,21.3,19,29
Rajasthan,EAG,2020,81032689,74.3,2.7,18.1,12,35.5
Sikkim,Non-EAG,2001,540851,68.81,2.4,33.1,30.2,61.8
Sikkim,Non-EAG,2011,607688,82.2,1.6,12.9,-5,156.5
Sikkim,Non-EAG,2020,690251,87.1,1.2,13.6,5.2,91.3
Tamil Nadu,Non-EAG,2001,62405679,73.45,2,11.7,-5.1,44.1
Tamil Nadu,Non-EAG,2011,72138958,80.33,1.7,15.6,6.6,27
Tamil Nadu,Non-EAG,2020,77841267,86.4,1.6,7.9,4.5,52.1
Telangana,Non-EAG,2001,30980614,58.78,2.5,19.4,15.6,17.5
Telangana,Non-EAG,2011,35193978,71.34,2.2,13.6,3.8,32.6
Telangana,Non-EAG,2020,38924540,73.6,1.7,10.6,2.8,61.4
Tripura,Non-EAG,2001,3199203,73.19,1.7,16,13.6,29.4
Tripura,Non-EAG,2011,3671032,87.75,1.4,14.8,2.2,76.2
Tripura,Non-EAG,2020,4169794,91.1,1.6,13.6,4.1,56.7
Uttar Pradesh,EAG,2001,166197921,56.27,4.5,25.8,24.1,33
Uttar Pradesh,EAG,2011,199581477,69.72,3.7,20.2,18,28.8
Uttar Pradesh,EAG,2020,237882725,72.1,3,19.2,11.6,45.6
Uttarakhand,EAG,2001,8489349,71.62,2.9,20.4,16.5,33.4
Uttarakhand,EAG,2011,10116752,79.63,2.1,18.8,11.5,39.9
Uttarakhand,EAG,2020,11250858,82.2,1.9,11.2,7.8,32.7
West Bengal,Non-EAG,2001,80176197,68.64,2.4,17.8,17,19.9
West Bengal,Non-EAG,2011,91347736,77.08,1.7,13.8,7.7,29.7
West Bengal,Non-EAG,2020,99609303,81.4,1.6,9,5.9,41.5