#,country,population,pop_in_b,density,land_area,fert_rate,med_age,urban_pop,world_share,year_1960,year_1961,year_1962,year_1963,year_1964,year_1965,year_1966,year_1967,year_1968,year_1969,year_1970,year_1971,year_1972,year_1973,year_1974,year_1975,year_1976,year_1977,year_1978,year_1979,year_1980,year_1981,year_1982,year_1983,year_1984,year_1985,year_1986,year_1987,year_1988,year_1989,year_1990,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019
1,China,1439323776,1.444,153,9388211,1.7,38,61,18.47,1.832867681,-1.015527787,0.8204555487,2.457647404,2.320682987,2.381368103,2.787331838,2.57069762,2.610902626,2.740002106,2.761675566,2.74691555,2.45735693,2.283395364,2.065955013,1.766391782,1.547337973,1.362779476,1.338182338,1.333927954,1.254221052,1.280952344,1.47267476,1.444949695,1.312068761,1.361699118,1.487398929,1.603605087,1.610071086,1.533169996,1.467303211,1.364434008,1.225536228,1.149619431,1.130260632,1.086509151,1.048141514,1.023450024,0.9595504063,0.865851393,0.787956593,0.7263806378,0.6699995678,0.6228609361,0.5939328151,0.5881249896,0.5583743674,0.5222718664,0.5123869316,0.4973814009,0.4829596887,0.4791504542,0.487231118,0.4937096335,0.5063115918,0.5081367473,0.5414785121,0.559121331,0.4558996787,0.3572910631
2,India,1380004385,1.380,464,2973190,2.2,28,35,17.7,1.960983486,1.99843774,2.031905454,2.056911684,2.071542291,2.080132863,2.083470803,2.091093794,2.113035337,2.153541594,2.204540007,2.257900619,2.301189898,2.327407347,2.331907575,2.321759164,2.304664538,2.291300827,2.286777711,2.294895757,2.309522066,2.323757166,2.328680217,2.320387549,2.295805371,2.259852793,2.220963073,2.183884504,2.14675799,2.11086641,2.076088739,2.039729635,2.003177618,1.97063456,1.943244886,1.918940549,1.89521886,1.869172711,1.839658073,1.80556042,1.768125412,1.728767638,1.689562681,1.651490906,1.61530759,1.57971029,1.545696178,1.50922207,1.46489008,1.4105823,1.350339045,1.28857558,1.231622928,1.18301607,1.145623988,1.116633091,1.08988008,1.062597394,1.03732336,1.015106028
3,United States,331002651,0.331,36,9147420,1.8,38,83,4.25,1.701992777,1.657730037,1.537997358,1.439164762,1.389046055,1.250171646,1.154893191,1.088881207,0.9984610436,0.9772428119,1.165002667,1.264333692,1.070522752,0.9544767286,0.9136601961,0.9859860673,0.950220049,1.005771996,1.05957308,1.103576565,0.9595899228,0.9814154373,0.9533175662,0.9143785134,0.8658173363,0.8861290409,0.9241641571,0.893829201,0.9079990402,0.9444055554,1.12965052,1.336260741,1.386885692,1.31868,1.226296089,1.190787091,1.16341162,1.203960297,1.165714526,1.148340047,1.112768997,0.9897413822,0.9277974857,0.8594817128,0.9254839689,0.9217131672,0.9642539171,0.9510552428,0.9458652873,0.8766512988,0.8278460417,0.7200176887,0.7272689972,0.6867731556,0.7275176958,0.7306411782,0.7166694134,0.6310078932,0.5223373579,0.4739535394
4,Indonesia,273523615,0.274,151,1811570,2.3,30,56,3.51,2.624929383,2.63983066,2.650495524,2.663060463,2.680611981,2.699322672,2.713856592,2.719427902,2.715670418,2.701406162,2.679120008,2.653632242,2.626524682,2.59570231,2.561541923,2.525108132,2.483591063,2.441542881,2.406502999,2.380814594,2.35927937,2.339623453,2.311774413,2.266511265,2.199614538,2.118941499,2.035028946,1.957545967,1.888369897,1.830930175,1.782055536,1.736904282,1.690942833,1.643704881,1.593867908,1.543735254,1.49534171,1.4527283,1.418767471,1.395291578,1.379909528,1.368094549,1.357351258,1.348842378,1.341877472,1.33630105,1.329580868,1.32383679,1.323330908,1.329218178,1.337774157,1.347997889,1.351892192,1.340921601,1.310876905,1.267465577,1.219765616,1.175102592,1.133769861,1.100584587
5,Pakistan,220892340,0.221,287,770880,3.6,23,35,2.83,2.289089675,2.364733235,2.431166392,2.486728214,2.531019077,2.56684106,2.601887198,2.635448971,2.660906008,2.677776675,2.691313307,2.702009864,2.720699592,2.75949351,2.822868267,2.901565979,2.97468466,3.038798946,3.106742685,3.178404951,3.246327847,3.309111298,3.35307922,3.363941241,3.336807567,3.28333614,3.227341847,3.173764076,3.109144826,3.033977558,2.955558407,2.866813712,2.78844997,2.749601004,2.759564142,2.797005942,2.845336748,2.870200549,2.847723493,2.765684503,2.647398688,2.521498071,2.41700998,2.341923724,2.305981732,2.296422881,2.29323254,2.28167066,2.26305181,2.233333997,2.197033999,2.159028902,2.126711756,2.103632169,2.092276276,2.087629055,2.084320949,2.074997082,2.05587987,2.029214863
6,Brazil,212559417,0.213,25,8358140,1.7,33,88,2.73,2.889605678,2.911132898,2.921441247,2.908792685,2.868006568,2.808486296,2.748117008,2.693166598,2.635761681,2.576986832,2.519725049,2.460873859,2.408584323,2.37506444,2.364464303,2.368908942,2.373059054,2.371182563,2.369525875,2.36685998,2.360481344,2.355195197,2.341853663,2.305660293,2.24179441,2.159941551,2.073964874,1.994822329,1.923234877,1.862959145,1.811518179,1.759418174,1.707335299,1.664858508,1.633793357,1.609715254,1.588837626,1.56372474,1.528963703,1.481112099,1.424167434,1.366957076,1.312744186,1.257382738,1.201294128,1.145880998,1.090196854,1.037862037,0.9943116239,0.9619482626,0.9379567375,0.9159626563,0.8935310579,0.8736031912,0.8557920229,0.8388482826,0.823748232,0.8071471623,0.783847579,0.7515484265
7,Nigeria,206139589,0.206,226,910770,5.4,18,52,2.64,1.975879424,2.028763661,2.075966411,2.11049895,2.129491917,2.139633844,2.151234736,2.171305394,2.199390073,2.237769973,2.285762274,2.321518688,2.360910027,2.439608646,2.566080336,2.71444252,2.87289137,2.993249544,3.03197919,2.971375139,2.849252191,2.709843332,2.599831616,2.53426438,2.528879693,2.5624216,2.602904427,2.625517401,2.630947033,2.612565799,2.579309849,2.54594937,2.521577563,2.503346905,2.493413935,2.489914474,2.488916992,2.488785116,2.491318779,2.496357004,2.503846969,2.511616536,2.521515111,2.537254552,2.55966188,2.585689094,2.610843826,2.632173264,2.649864293,2.662916691,2.671442933,2.677883827,2.680913555,2.676900328,2.665019173,2.6474192,2.627702662,2.607676386,2.586545852,2.564841886
8,Bangladesh,164689383,0.165,1265,130170,2.1,28,39,2.11,2.772587027,2.771567051,2.77561443,2.816682294,2.906859177,3.012128698,3.150248836,3.230445748,3.141838315,2.850251812,2.447036462,2.002393972,1.655749142,1.507254247,1.620074911,1.90781953,2.238443378,2.496344295,2.668078168,2.718203101,2.685744757,2.636994968,2.612842273,2.599438336,2.605599764,2.620590611,2.634995039,2.630222816,2.595027768,2.523387808,2.429599019,2.325303226,2.233022266,2.16825965,2.140080738,2.134495915,2.13048473,2.111534456,2.077340311,2.022751065,1.95238739,1.886287145,1.820070221,1.731266118,1.615198017,1.484744774,1.347130256,1.226617775,1.145653022,1.116805726,1.124803493,1.144262127,1.15494813,1.156713453,1.142594657,1.117283565,1.091300482,1.070244022,1.050044649,1.042001128
9,Russia,145934462,0.146,9,16376870,1.8,40,74,1.87,1.469496501,1.110601836,1.111455211,1.110532157,1.111100258,1.110725847,0.5688158744,0.5694990046,0.5693766257,0.5692380177,0.5690834683,0.5742506003,0.5732461034,0.5745013496,0.5734680374,0.5739239763,0.703185038,0.702683474,0.70288765,0.7030532036,0.7096554795,0.6675032223,0.6282877444,0.5982509321,0.7573529676,0.7766880284,0.7175738664,0.69738455,0.6483038094,0.5866035329,0.1680183412,0.2866811295,0.09697897904,-0.05348202766,-0.03426790703,-0.02164876321,-0.1454515466,-0.1653416538,-0.1654861433,-0.3092781915,-0.4206149902,-0.4240905248,-0.4600242581,-0.453780668,-0.4026814713,-0.3814527947,-0.3274452701,-0.1710820329,-0.04394925916,0.03010776052,0.04489578809,0.07798177743,0.1683050353,0.2129507045,0.2176415668,0.1925586418,0.1702445459,0.1068719543,-0.0130668924,-0.07223437819
10,Mexico,128932753,0.129,66,1943950,2.1,29,84,1.65,3.118507597,3.11265537,3.105963789,3.103569873,3.10759051,3.11383707,3.114549154,3.106941056,3.094475146,3.076781196,3.052886229,3.02750279,2.994795881,2.944627651,2.874439024,2.79185029,2.704732632,2.623122844,2.551811072,2.494453926,2.446208856,2.400441931,2.350893129,2.29636369,2.234977339,2.169695508,2.103978937,2.042151814,1.986004265,1.937095064,1.893125473,1.85244329,1.810739862,1.764754849,1.712699034,1.657597749,1.605744537,1.559440673,1.516092702,1.476210015,1.441087472,1.403960865,1.373013961,1.363786131,1.381467019,1.415822666,1.456207605,1.486064475,1.495369111,1.476757594,1.438141533,1.394792539,1.355289252,1.315560984,1.277676363,1.241177725,1.203251329,1.163967779,1.126421149,1.091362132